date,demand,unit_price,unit_cost
2024-01-01,229.1,40.06,18.4
2024-01-02,262.6,40.47,17.9
2024-01-03,254.5,40.68,17.78
2024-01-04,195.7,40.63,17.9
2024-01-05,172.1,39.23,18.56
2024-01-06,188.0,40.16,18.41
2024-01-07,208.0,40.86,18.27
2024-01-08,217.9,41.35,17.99
2024-01-09,267.8,40.54,18.2
2024-01-10,245.4,40.78,18.41
2024-01-11,230.9,42.15,18.6
2024-01-12,184.7,40.11,18.32
2024-01-13,168.0,41.32,18.87
2024-01-14,222.6,41.23,18.41
2024-01-15,209.4,41.45,18.86
2024-01-16,244.0,41.55,18.07
2024-01-17,199.8,42.12,18.68
2024-01-18,208.9,42.33,18.38
2024-01-19,176.1,43.45,17.86
2024-01-20,175.2,42.84,18.66
2024-01-21,212.0,41.94,18.25
2024-01-22,181.5,42.12,18.72
2024-01-23,215.5,42.53,18.01
2024-01-24,235.6,43.34,18.31
2024-01-25,206.5,41.9,18.4
2024-01-26,197.8,42.18,17.76
2024-01-27,187.5,41.85,18.11
2024-01-28,204.6,42.5,18.32
2024-01-29,204.3,41.18,17.85
2024-01-30,165.8,41.88,17.85
2024-01-31,165.6,41.07,18.25
2024-02-01,163.7,41.8,18.79
2024-02-02,147.5,41.98,17.7
2024-02-03,160.9,41.29,17.99
2024-02-04,130.7,41.28,17.6
2024-02-05,171.2,41.86,18.21
2024-02-06,157.7,41.13,17.54
2024-02-07,152.3,41.35,17.74
2024-02-08,180.3,40.82,17.99
2024-02-09,140.6,40.35,17.28
2024-02-10,133.7,40.48,17.74
2024-02-11,123.9,41.61,17.46
2024-02-12,125.6,40.28,17.01
2024-02-13,255.0,40.31,17.33
2024-02-14,217.4,40.75,17.5
2024-02-15,251.9,40.2,17.34
2024-02-16,257.8,40.14,17.77
2024-02-17,200.5,40.88,17.4
2024-02-18,185.7,40.06,17.59
2024-02-19,235.3,39.05,17.69
2024-02-20,264.1,39.67,18.2
2024-02-21,243.5,38.9,17.8
2024-02-22,238.8,38.9,17.4
2024-02-23,250.7,39.49,18.14
2024-02-24,235.7,38.87,17.75
2024-02-25,228.5,38.58,17.83
2024-02-26,212.5,38.34,17.44
2024-02-27,249.4,38.6,17.76
2024-02-28,272.1,38.3,17.97
2024-02-29,239.3,38.84,17.48
2024-03-01,211.6,38.38,17.89
2024-03-02,197.3,38.13,18.06
2024-03-03,204.9,39.7,17.88
2024-03-04,222.3,38.27,18.58
2024-03-05,245.9,37.71,18.7
2024-03-06,294.8,37.42,17.84
2024-03-07,231.5,37.45,17.71
2024-03-08,252.3,37.32,17.91
2024-03-09,227.9,37.96,18.78
2024-03-10,227.3,38.0,18.04
2024-03-11,224.7,38.33,18.36
2024-03-12,252.4,37.56,18.87
2024-03-13,328.9,37.87,18.68
2024-03-14,260.2,37.86,18.78
2024-03-15,250.2,39.03,18.53
2024-03-16,240.0,38.34,19.18
2024-03-17,255.9,38.56,18.37
2024-03-18,244.9,38.98,18.13
2024-03-19,255.4,38.63,18.51
2024-03-20,275.7,38.58,19.31
2024-03-21,257.9,38.5,18.91
2024-03-22,263.7,38.68,18.33
2024-03-23,235.2,38.92,17.89
2024-03-24,242.4,38.94,18.36
2024-03-25,261.4,39.07,18.45
2024-03-26,315.4,40.27,18.44
2024-03-27,269.9,38.78,18.17
2024-03-28,259.3,38.56,17.85
2024-03-29,273.5,39.91,17.94
2024-03-30,234.6,40.55,18.18
2024-03-31,252.0,39.87,18.42
2024-04-01,246.1,40.56,18.26
2024-04-02,287.1,41.11,17.82
2024-04-03,305.6,40.3,17.78
2024-04-04,244.6,40.66,18.16
2024-04-05,239.8,40.28,18.08
2024-04-06,253.9,40.5,17.86
2024-04-07,312.5,40.74,16.99
2024-04-08,284.5,41.43,17.21
2024-04-09,292.3,41.92,17.82
2024-04-10,276.0,41.64,17.91
2024-04-11,298.0,40.96,17.69
2024-04-12,205.3,41.1,17.56
2024-04-13,248.4,41.4,17.51
2024-04-14,247.6,41.67,17.62
2024-04-15,264.5,42.03,17.06
2024-04-16,380.2,41.06,17.29
2024-04-17,240.4,41.34,17.69
2024-04-18,293.1,42.81,17.44
2024-04-19,272.1,42.19,17.49
2024-04-20,268.0,42.19,17.56
2024-04-21,223.3,41.3,17.7
2024-04-22,272.3,42.53,17.46
2024-04-23,265.8,42.29,17.34
2024-04-24,311.2,41.27,17.8
2024-04-25,306.6,41.37,17.23
2024-04-26,281.1,42.28,17.75
2024-04-27,256.5,41.26,17.42
2024-04-28,273.1,42.17,18.22
2024-04-29,297.0,41.55,18.66
2024-04-30,328.5,42.09,17.65
2024-05-01,322.9,42.14,18.33
2024-05-02,257.0,42.53,17.96
2024-05-03,260.3,40.62,17.97
2024-05-04,276.6,40.68,18.06
2024-05-05,249.9,41.25,18.36
2024-05-06,274.9,42.04,18.48
2024-05-07,325.6,41.33,18.12
2024-05-08,327.1,40.28,18.18
2024-05-09,342.5,41.29,18.74
2024-05-10,303.1,40.66,18.85
2024-05-11,260.8,41.21,18.14
2024-05-12,282.1,39.85,18.38
2024-05-13,227.9,40.76,18.79
2024-05-14,302.7,40.85,19.13
2024-05-15,329.6,39.52,18.57
2024-05-16,251.1,39.95,18.65
2024-05-17,283.7,39.96,18.22
2024-05-18,284.1,39.7,18.79
2024-05-19,314.5,39.03,18.61
2024-05-20,321.0,39.84,18.33
2024-05-21,402.2,38.75,18.41
2024-05-22,395.9,39.13,19.05
2024-05-23,274.9,39.21,18.8
2024-05-24,290.8,39.03,18.76
2024-05-25,276.8,39.03,17.98
2024-05-26,290.4,37.72,17.84
2024-05-27,295.3,37.39,17.68
2024-05-28,359.0,38.55,18.3
2024-05-29,371.1,38.53,17.7
2024-05-30,281.6,38.99,17.69
2024-05-31,331.1,38.1,18.31
2024-06-01,266.8,38.08,17.35
2024-06-02,323.6,37.36,18.01
2024-06-03,334.8,38.27,17.44
2024-06-04,337.2,38.76,17.79
2024-06-05,424.8,37.82,18.42
2024-06-06,362.4,38.25,17.78
2024-06-07,305.3,38.61,17.56
2024-06-08,294.7,38.62,17.54
2024-06-09,374.3,38.51,17.5
2024-06-10,367.9,38.59,17.39
2024-06-11,379.0,36.42,17.02
2024-06-12,358.8,37.22,17.25
2024-06-13,477.3,38.4,17.92
2024-06-14,420.3,37.44,17.88
2024-06-15,335.7,38.84,17.7
2024-06-16,436.7,38.15,17.51
2024-06-17,452.4,37.74,17.72
2024-06-18,409.1,39.06,17.63
2024-06-19,447.3,38.4,17.76
2024-06-20,442.6,38.35,18.07
2024-06-21,430.0,39.33,18.01
2024-06-22,467.1,38.96,17.57
2024-06-23,402.2,38.6,17.45
2024-06-24,358.9,38.78,17.14
2024-06-25,501.6,38.64,17.58
2024-06-26,470.6,40.41,17.83
2024-06-27,382.3,40.39,17.86
2024-06-28,332.2,39.89,17.94
2024-06-29,354.1,39.66,18.13
2024-06-30,417.8,40.39,18.36
2024-07-01,299.7,40.18,17.65
2024-07-02,370.1,40.81,17.87
2024-07-03,345.0,40.87,17.92
2024-07-04,343.5,40.72,18.46
2024-07-05,331.7,40.68,18.85
2024-07-06,309.0,41.25,18.41
2024-07-07,268.0,41.07,18.52
2024-07-08,391.6,40.35,18.26
2024-07-09,285.6,41.43,18.15
2024-07-10,347.6,42.29,18.27
2024-07-11,303.9,41.31,18.97
2024-07-12,347.4,41.71,18.49
2024-07-13,255.1,41.5,18.45
2024-07-14,267.6,41.88,18.7
2024-07-15,287.1,41.65,18.54
2024-07-16,302.0,43.04,18.83
2024-07-17,333.0,42.14,18.49
2024-07-18,341.0,41.96,18.56
2024-07-19,278.4,42.14,18.6
2024-07-20,244.1,42.05,18.24
