demand,date,unit_price,unit_cost
229.1,2024-01-01,40.06,18.4
262.6,2024-01-02,40.47,17.9
254.5,2024-01-03,40.68,17.78
195.7,2024-01-04,40.63,17.9
172.1,2024-01-05,39.23,18.56
188.0,2024-01-06,40.16,18.41
208.0,2024-01-07,40.86,18.27
217.9,2024-01-08,41.35,17.99
267.8,2024-01-09,40.54,18.2
245.4,2024-01-10,40.78,18.41
230.9,2024-01-11,42.15,18.6
184.7,2024-01-12,40.11,18.32
168.0,2024-01-13,41.32,18.87
222.6,2024-01-14,41.23,18.41
209.4,2024-01-15,41.45,18.86
244.0,2024-01-16,41.55,18.07
199.8,2024-01-17,42.12,18.68
208.9,2024-01-18,42.33,18.38
176.1,2024-01-19,43.45,17.86
175.2,2024-01-20,42.84,18.66
212.0,2024-01-21,41.94,18.25
181.5,2024-01-22,42.12,18.72
215.5,2024-01-23,42.53,18.01
235.6,2024-01-24,43.34,18.31
206.5,2024-01-25,41.9,18.4
197.8,2024-01-26,42.18,17.76
187.5,2024-01-27,41.85,18.11
204.6,2024-01-28,42.5,18.32
204.3,2024-01-29,41.18,17.85
165.8,2024-01-30,41.88,17.85
165.6,2024-01-31,41.07,18.25
163.7,2024-02-01,41.8,18.79
147.5,2024-02-02,41.98,17.7
160.9,2024-02-03,41.29,17.99
130.7,2024-02-04,41.28,17.6
171.2,2024-02-05,41.86,18.21
157.7,2024-02-06,41.13,17.54
152.3,2024-02-07,41.35,17.74
180.3,2024-02-08,40.82,17.99
140.6,2024-02-09,40.35,17.28
133.7,2024-02-10,40.48,17.74
123.9,2024-02-11,41.61,17.46
125.6,2024-02-12,40.28,17.01
255.0,2024-02-13,40.31,17.33
217.4,2024-02-14,40.75,17.5
251.9,2024-02-15,40.2,17.34
257.8,2024-02-16,40.14,17.77
200.5,2024-02-17,40.88,17.4
185.7,2024-02-18,40.06,17.59
235.3,2024-02-19,39.05,17.69
264.1,2024-02-20,39.67,18.2
243.5,2024-02-21,38.9,17.8
238.8,2024-02-22,38.9,17.4
250.7,2024-02-23,39.49,18.14
235.7,2024-02-24,38.87,17.75
228.5,2024-02-25,38.58,17.83
212.5,2024-02-26,38.34,17.44
249.4,2024-02-27,38.6,17.76
272.1,2024-02-28,38.3,17.97
239.3,2024-02-29,38.84,17.48
211.6,2024-03-01,38.38,17.89
197.3,2024-03-02,38.13,18.06
204.9,2024-03-03,39.7,17.88
222.3,2024-03-04,38.27,18.58
245.9,2024-03-05,37.71,18.7
294.8,2024-03-06,37.42,17.84
231.5,2024-03-07,37.45,17.71
252.3,2024-03-08,37.32,17.91
227.9,2024-03-09,37.96,18.78
227.3,2024-03-10,38.0,18.04
224.7,2024-03-11,38.33,18.36
252.4,2024-03-12,37.56,18.87
328.9,2024-03-13,37.87,18.68
260.2,2024-03-14,37.86,18.78
250.2,2024-03-15,39.03,18.53
240.0,2024-03-16,38.34,19.18
