demand,date,unit_price,unit_cost
256.6,2024-01-01,40.06,18.4
294.3,2024-01-02,40.47,17.9
285.5,2024-01-03,40.68,17.78
219.7,2024-01-04,40.63,17.9
193.4,2024-01-05,39.23,18.56
211.4,2024-01-06,40.16,18.41
234.1,2024-01-07,40.86,18.27
245.4,2024-01-08,41.35,17.99
301.9,2024-01-09,40.54,18.2
276.8,2024-01-10,40.78,18.41
260.7,2024-01-11,42.15,18.6
208.7,2024-01-12,40.11,18.32
190.0,2024-01-13,41.32,18.87
251.9,2024-01-14,41.23,18.41
237.2,2024-01-15,41.45,18.86
276.6,2024-01-16,41.55,18.07
226.6,2024-01-17,42.12,18.68
237.1,2024-01-18,42.33,18.38
200.1,2024-01-19,43.45,17.86
199.2,2024-01-20,42.84,18.66
241.2,2024-01-21,41.94,18.25
206.7,2024-01-22,42.12,18.72
245.6,2024-01-23,42.53,18.01
268.7,2024-01-24,43.34,18.31
235.7,2024-01-25,41.9,18.4
226.0,2024-01-26,42.18,17.76
214.4,2024-01-27,41.85,18.11
234.1,2024-01-28,42.5,18.32
233.9,2024-01-29,41.18,17.85
190.0,2024-01-30,41.88,17.85
189.9,2024-01-31,41.07,18.25
187.9,2024-02-01,41.8,18.79
169.4,2024-02-02,41.98,17.7
185.0,2024-02-03,41.29,17.99
150.4,2024-02-04,41.28,17.6
197.1,2024-02-05,41.86,18.21
181.7,2024-02-06,41.13,17.54
175.6,2024-02-07,41.35,17.74
208.1,2024-02-08,40.82,17.99
162.4,2024-02-09,40.35,17.28
154.5,2024-02-10,40.48,17.74
143.3,2024-02-11,41.61,17.46
145.4,2024-02-12,40.28,17.01
295.4,2024-02-13,40.31,17.33
252.1,2024-02-14,40.75,17.5
292.3,2024-02-15,40.2,17.34
299.4,2024-02-16,40.14,17.77
233.0,2024-02-17,40.88,17.4
216.0,2024-02-18,40.06,17.59
273.9,2024-02-19,39.05,17.69
307.6,2024-02-20,39.67,18.2
283.8,2024-02-21,38.9,17.8
278.6,2024-02-22,38.9,17.4
292.7,2024-02-23,39.49,18.14
275.4,2024-02-24,38.87,17.75
267.2,2024-02-25,38.58,17.83
248.7,2024-02-26,38.34,17.44
292.1,2024-02-27,38.6,17.76
318.9,2024-02-28,38.3,17.97
280.7,2024-02-29,38.84,17.48
248.4,2024-03-01,38.38,17.89
231.8,2024-03-02,38.13,18.06
240.9,2024-03-03,39.7,17.88
261.5,2024-03-04,38.27,18.58
289.5,2024-03-05,37.71,18.7
347.3,2024-03-06,37.42,17.84
273.0,2024-03-07,37.45,17.71
297.7,2024-03-08,37.32,17.91
269.1,2024-03-09,37.96,18.78
268.6,2024-03-10,38.0,18.04
265.8,2024-03-11,38.33,18.36
298.7,2024-03-12,37.56,18.87
389.6,2024-03-13,37.87,18.68
308.4,2024-03-14,37.86,18.78
296.8,2024-03-15,39.03,18.53
284.9,2024-03-16,38.34,19.18
304.0,2024-03-17,38.56,18.37
291.2,2024-03-18,38.98,18.13
303.9,2024-03-19,38.63,18.51
328.3,2024-03-20,38.58,19.31
307.3,2024-03-21,38.5,18.91
314.5,2024-03-22,38.68,18.33
280.7,2024-03-23,38.92,17.89
289.5,2024-03-24,38.94,18.36
312.4,2024-03-25,39.07,18.45
377.3,2024-03-26,40.27,18.44
323.1,2024-03-27,38.78,18.17
310.6,2024-03-28,38.56,17.85
327.9,2024-03-29,39.91,17.94
281.5,2024-03-30,40.55,18.18
302.6,2024-03-31,39.87,18.42
295.7,2024-04-01,40.56,18.26
345.2,2024-04-02,41.11,17.82
367.7,2024-04-03,40.3,17.78
294.6,2024-04-04,40.66,18.16
289.0,2024-04-05,40.28,18.08
306.2,2024-04-06,40.5,17.86
377.2,2024-04-07,40.74,16.99
343.6,2024-04-08,41.43,17.21
353.3,2024-04-09,41.92,17.82
333.8,2024-04-10,41.64,17.91
360.7,2024-04-11,40.96,17.69
248.7,2024-04-12,41.1,17.56
301.1,2024-04-13,41.4,17.51
300.4,2024-04-14,41.67,17.62
321.1,2024-04-15,42.03,17.06
461.9,2024-04-16,41.06,17.29
292.3,2024-04-17,41.34,17.69
