demand,date,unit_price,unit_cost
178.7,2024-01-01,36.86,18.4
204.7,2024-01-02,37.23,17.9
198.3,2024-01-03,37.43,17.78
152.4,2024-01-04,37.38,17.9
134.0,2024-01-05,36.09,18.56
146.3,2024-01-06,36.95,18.41
161.8,2024-01-07,37.59,18.27
169.4,2024-01-08,38.04,17.99
208.0,2024-01-09,37.3,18.2
190.6,2024-01-10,37.52,18.41
179.2,2024-01-11,38.78,18.6
143.3,2024-01-12,36.9,18.32
130.3,2024-01-13,38.01,18.87
172.5,2024-01-14,37.93,18.41
162.2,2024-01-15,38.13,18.86
188.9,2024-01-16,38.23,18.07
154.6,2024-01-17,38.75,18.68
161.6,2024-01-18,38.94,18.38
136.1,2024-01-19,39.97,17.86
135.4,2024-01-20,39.41,18.66
163.7,2024-01-21,38.58,18.25
140.1,2024-01-22,38.75,18.72
166.2,2024-01-23,39.13,18.01
181.7,2024-01-24,39.87,18.31
159.1,2024-01-25,38.55,18.4
152.4,2024-01-26,38.81,17.76
144.3,2024-01-27,38.5,18.11
157.4,2024-01-28,39.1,18.32
157.1,2024-01-29,37.89,17.85
127.4,2024-01-30,38.53,17.85
127.2,2024-01-31,37.78,18.25
125.7,2024-02-01,38.46,18.79
113.2,2024-02-02,38.62,17.7
123.4,2024-02-03,37.99,17.99
100.2,2024-02-04,37.98,17.6
131.2,2024-02-05,38.51,18.21
120.8,2024-02-06,37.84,17.54
116.6,2024-02-07,38.04,17.74
138.0,2024-02-08,37.55,17.99
107.5,2024-02-09,37.12,17.28
102.2,2024-02-10,37.24,17.74
94.7,2024-02-11,38.28,17.46
95.9,2024-02-12,37.06,17.01
194.6,2024-02-13,37.09,17.33
165.8,2024-02-14,37.49,17.5
192.1,2024-02-15,36.98,17.34
196.5,2024-02-16,36.93,17.77
152.7,2024-02-17,37.61,17.4
141.4,2024-02-18,36.86,17.59
179.0,2024-02-19,35.93,17.69
200.8,2024-02-20,36.5,18.2
185.1,2024-02-21,35.79,17.8
181.4,2024-02-22,35.79,17.4
190.4,2024-02-23,36.33,18.14
178.9,2024-02-24,35.76,17.75
173.3,2024-02-25,35.49,17.83
161.1,2024-02-26,35.27,17.44
189.0,2024-02-27,35.51,17.76
206.1,2024-02-28,35.24,17.97
181.1,2024-02-29,35.73,17.48
160.1,2024-03-01,35.31,17.89
149.2,2024-03-02,35.08,18.06
