demand,date,unit_price,unit_cost
217.6,2024-01-01,40.06,18.4
249.5,2024-01-02,40.47,17.9
241.8,2024-01-03,40.68,17.78
185.9,2024-01-04,40.63,17.9
163.5,2024-01-05,39.23,18.56
178.6,2024-01-06,40.16,18.41
197.6,2024-01-07,40.86,18.27
207.0,2024-01-08,41.35,17.99
254.4,2024-01-09,40.54,18.2
233.1,2024-01-10,40.78,18.41
219.4,2024-01-11,42.15,18.6
175.5,2024-01-12,40.11,18.32
159.6,2024-01-13,41.32,18.87
211.5,2024-01-14,41.23,18.41
198.9,2024-01-15,41.45,18.86
231.8,2024-01-16,41.55,18.07
189.8,2024-01-17,42.12,18.68
198.5,2024-01-18,42.33,18.38
167.3,2024-01-19,43.45,17.86
166.4,2024-01-20,42.84,18.66
201.4,2024-01-21,41.94,18.25
172.4,2024-01-22,42.12,18.72
204.7,2024-01-23,42.53,18.01
223.8,2024-01-24,43.34,18.31
196.2,2024-01-25,41.9,18.4
187.9,2024-01-26,42.18,17.76
178.1,2024-01-27,41.85,18.11
194.4,2024-01-28,42.5,18.32
194.1,2024-01-29,41.18,17.85
157.5,2024-01-30,41.88,17.85
157.3,2024-01-31,41.07,18.25
155.5,2024-02-01,41.8,18.79
140.1,2024-02-02,41.98,17.7
152.9,2024-02-03,41.29,17.99
124.2,2024-02-04,41.28,17.6
162.6,2024-02-05,41.86,18.21
149.8,2024-02-06,41.13,17.54
144.7,2024-02-07,41.35,17.74
171.3,2024-02-08,40.82,17.99
133.6,2024-02-09,40.35,17.28
127.0,2024-02-10,40.48,17.74
117.7,2024-02-11,41.61,17.46
119.3,2024-02-12,40.28,17.01
242.2,2024-02-13,40.31,17.33
206.5,2024-02-14,40.75,17.5
239.3,2024-02-15,40.2,17.34
244.9,2024-02-16,40.14,17.77
190.5,2024-02-17,40.88,17.4
176.4,2024-02-18,40.06,17.59
223.5,2024-02-19,39.05,17.69
250.9,2024-02-20,39.67,18.2
231.3,2024-02-21,38.9,17.8
226.9,2024-02-22,38.9,17.4
238.2,2024-02-23,39.49,18.14
223.9,2024-02-24,38.87,17.75
217.1,2024-02-25,38.58,17.83
201.9,2024-02-26,38.34,17.44
236.9,2024-02-27,38.6,17.76
258.5,2024-02-28,38.3,17.97
227.3,2024-02-29,38.84,17.48
201.0,2024-03-01,38.38,17.89
187.4,2024-03-02,38.13,18.06
194.7,2024-03-03,39.7,17.88
211.2,2024-03-04,38.27,18.58
233.6,2024-03-05,37.71,18.7
280.1,2024-03-06,37.42,17.84
219.9,2024-03-07,37.45,17.71
239.7,2024-03-08,37.32,17.91
216.5,2024-03-09,37.96,18.78
215.9,2024-03-10,38.0,18.04
213.5,2024-03-11,38.33,18.36
239.8,2024-03-12,37.56,18.87
312.5,2024-03-13,37.87,18.68
247.2,2024-03-14,37.86,18.78
237.7,2024-03-15,39.03,18.53
228.0,2024-03-16,38.34,23.4
243.1,2024-03-17,38.56,22.41
232.7,2024-03-18,38.98,22.12
242.6,2024-03-19,38.63,22.58
261.9,2024-03-20,38.58,23.56
245.0,2024-03-21,38.5,23.07
250.5,2024-03-22,38.68,22.36
223.4,2024-03-23,38.92,21.83
230.3,2024-03-24,38.94,22.4
248.3,2024-03-25,39.07,22.51
299.6,2024-03-26,40.27,22.5
256.4,2024-03-27,38.78,22.17
246.3,2024-03-28,38.56,21.78
259.8,2024-03-29,39.91,21.89
222.9,2024-03-30,40.55,22.18
